tournament_year,team_id,team_name,team_code,count_matches,performance,top_scorer,top_scorer_goals
2014,T-41,Italy,ITA,3,Group stage,2 players tied,1
2014,T-42,Ivory Coast,CIV,3,Group stage,2 players tied,2
2014,T-44,Japan,JPN,3,Group stage,2 players tied,1
2014,T-46,Mexico,MEX,4,Round of 16,5 players tied,1
2014,T-48,Netherlands,NLD,7,Third place,Robin van Persie,4
2014,T-50,Nigeria,NGA,4,Round of 16,Ahmed Musa,2
2014,T-58,Portugal,PRT,3,Group stage,3 players tied,1
2014,T-62,Russia,RUS,3,Group stage,2 players tied,1
2014,T-71,South Korea,KOR,3,Group stage,3 players tied,1
2014,T-73,Spain,ESP,3,Group stage,4 players tied,1
2014,T-75,Switzerland,CHE,4,Round of 16,5 players tied,1
2014,T-83,United States,USA,4,Round of 16,Clint Dempsey,2
2014,T-84,Uruguay,URY,4,Round of 16,Luis Suárez,2
2018,T-03,Argentina,ARG,4,Round of 16,Sergio Agüero,2
2018,T-04,Australia,AUS,3,Group stage,Mile Jedinak,2
2018,T-06,Belgium,BEL,7,Third place,Romelu Lukaku,4
2018,T-09,Brazil,BRA,5,Quarter-finals,2 players tied,2
2018,T-16,Colombia,COL,4,Round of 16,Yerry Mina,3
2018,T-17,Costa Rica,CRI,3,Group stage,Kendall Waston,1
2018,T-18,Croatia,HRV,7,Runner-up,2 players tied,3
2018,T-22,Denmark,DNK,4,Round of 16,3 players tied,1
2018,T-26,Egypt,EGY,3,Group stage,Mohamed Salah,2
2018,T-28,England,ENG,7,Semi-finals,Harry Kane,6
2018,T-30,France,FRA,7,Champion,2 players tied,4
2018,T-31,Germany,DEU,3,Group stage,2 players tied,1
2018,T-37,Iceland,ISL,3,Group stage,2 players tied,1
2018,T-38,Iran,IRN,3,Group stage,Karim Ansarifard,1
2018,T-44,Japan,JPN,4,Round of 16,Takashi Inui,2
2018,T-46,Mexico,MEX,4,Round of 16,3 players tied,1
2018,T-47,Morocco,MAR,3,Group stage,2 players tied,1
2018,T-50,Nigeria,NGA,3,Group stage,Ahmed Musa,2
2018,T-54,Panama,PAN,3,Group stage,Felipe Baloy,1
2018,T-56,Peru,PER,3,Group stage,2 players tied,1
2018,T-57,Poland,POL,3,Group stage,2 players tied,1
2018,T-58,Portugal,PRT,4,Round of 16,Cristiano Ronaldo,4
2018,T-62,Russia,RUS,5,Quarter-finals,Denis Cheryshev,4
2018,T-63,Saudi Arabia,SAU,3,Group stage,2 players tied,1
2018,T-65,Senegal,SEN,3,Group stage,4 players tied,1
2018,T-66,Serbia,SRB,3,Group stage,2 players tied,1
2018,T-71,South Korea,KOR,3,Group stage,Son Heung-min,2
2018,T-73,Spain,ESP,4,Round of 16,Diego Costa,3
2018,T-74,Sweden,SWE,5,Quarter-finals,Andreas Granqvist,2
2018,T-75,Switzerland,CHE,4,Round of 16,5 players tied,1
2018,T-79,Tunisia,TUN,3,Group stage,Wahbi Khazri,2
2018,T-84,Uruguay,URY,5,Quarter-finals,Edinson Cavani,3
2022,T-03,Argentina,ARG,7,Champion,Lionel Messi,7
2022,T-04,Australia,AUS,4,Round of 16,3 players tied,1
2022,T-06,Belgium,BEL,3,Group stage,Michy Batshuayi,1
2022,T-09,Brazil,BRA,5,Quarter-finals,Richarlison,3
2022,T-11,Cameroon,CMR,3,Group stage,Vincent Aboubakar,2
2022,T-12,Canada,CAN,3,Group stage,Alphonso Davies,1
2022,T-17,Costa Rica,CRI,3,Group stage,3 players tied,1
2022,T-18,Croatia,HRV,7,Third place,Andrej Kramarić,2
2022,T-22,Denmark,DNK,3,Group stage,Andreas Christensen,1
2022,T-25,Ecuador,ECU,3,Group stage,Enner Valencia,3
2022,T-28,England,ENG,5,Quarter-finals,2 players tied,3
2022,T-30,France,FRA,7,Runner-up,Kylian Mbappé,8
2022,T-31,Germany,DEU,3,Group stage,2 players tied,2
2022,T-32,Ghana,GHA,3,Group stage,Mohammed Kudus,2
2022,T-38,Iran,IRN,3,Group stage,Mehdi Taremi,2
2022,T-44,Japan,JPN,4,Round of 16,Ritsu Doan,2
2022,T-46,Mexico,MEX,3,Group stage,2 players tied,1
2022,T-47,Morocco,MAR,7,Semi-finals,Youssef En-Nesyri,2
2022,T-48,Netherlands,NLD,5,Quarter-finals,Cody Gakpo,3
2022,T-57,Poland,POL,4,Round of 16,Robert Lewandowski,2
2022,T-58,Portugal,PRT,5,Quarter-finals,Gonçalo Ramos,3
2022,T-59,Qatar,QAT,3,Group stage,Mohammed Muntari,1
2022,T-63,Saudi Arabia,SAU,3,Group stage,Salem Al-Dawsari,2
2022,T-65,Senegal,SEN,4,Round of 16,5 players tied,1
2022,T-66,Serbia,SRB,3,Group stage,Aleksandar Mitrović,2
2022,T-71,South Korea,KOR,4,Round of 16,Cho Gue-sung,2
2022,T-73,Spain,ESP,4,Round of 16,Álvaro Morata,3
2022,T-75,Switzerland,CHE,4,Round of 16,Breel Embolo,2
2022,T-79,Tunisia,TUN,3,Group stage,Wahbi Khazri,1
2022,T-83,United States,USA,4,Round of 16,3 players tied,1
2022,T-84,Uruguay,URY,3,Group stage,Giorgian de Arrascaeta,2
2022,T-85,Wales,WAL,3,Group stage,Gareth Bale,1
