tournament_year,team_id,team_name,team_code,count_matches,performance,top_scorer,top_scorer_goals
1962,T-21,Czechoslovakia,CSK,6,Runner-up,Adolf Scherer,3
1962,T-28,England,ENG,4,Quarter-finals,Ron Flowers,2
1962,T-36,Hungary,HUN,4,Quarter-finals,Flórián Albert,4
1962,T-41,Italy,ITA,3,Group stage,Giacomo Bulgarelli,2
1962,T-46,Mexico,MEX,3,Group stage,3 players tied,1
1962,T-72,Soviet Union,SUN,4,Quarter-finals,Valentin Ivanov,4
1962,T-73,Spain,ESP,3,Group stage,2 players tied,1
1962,T-75,Switzerland,CHE,3,Group stage,2 players tied,1
1962,T-84,Uruguay,URY,3,Group stage,José Sasía,2
1962,T-86,West Germany,DEU,4,Quarter-finals,Uwe Seeler,2
1962,T-87,Yugoslavia,YUG,6,Semi-finals,Dražan Jerković,4
1966,T-03,Argentina,ARG,4,Quarter-finals,Luis Artime,3
1966,T-09,Brazil,BRA,3,Group stage,4 players tied,1
1966,T-10,Bulgaria,BGR,3,Group stage,Georgi Asparuhov,1
1966,T-13,Chile,CHL,3,Group stage,Rubén Marcos,2
1966,T-28,England,ENG,6,Champion,Geoff Hurst,4
1966,T-30,France,FRA,3,Group stage,2 players tied,1
1966,T-36,Hungary,HUN,4,Quarter-finals,Ferenc Bene,4
1966,T-41,Italy,ITA,3,Group stage,2 players tied,1
1966,T-46,Mexico,MEX,3,Group stage,Enrique Borja,1
1966,T-51,North Korea,PRK,4,Quarter-finals,Pak Seung-zin,2
1966,T-58,Portugal,PRT,6,Third place,Eusébio,9
1966,T-72,Soviet Union,SUN,6,Semi-finals,Valeriy Porkujan,4
1966,T-73,Spain,ESP,3,Group stage,4 players tied,1
1966,T-75,Switzerland,CHE,3,Group stage,René-Pierre Quentin,1
1966,T-84,Uruguay,URY,4,Quarter-finals,2 players tied,1
1966,T-86,West Germany,DEU,6,Runner-up,Helmut Haller,6
1970,T-06,Belgium,BEL,3,Group stage,2 players tied,2
1970,T-09,Brazil,BRA,6,Champion,Jairzinho,7
1970,T-10,Bulgaria,BGR,3,Group stage,5 players tied,1
1970,T-21,Czechoslovakia,CSK,3,Group stage,Ladislav Petráš,2
1970,T-27,El Salvador,SLV,3,Group stage,No goals scored,0
1970,T-28,England,ENG,4,Quarter-finals,4 players tied,1
1970,T-40,Israel,ISR,3,Group stage,Mordechai Spiegler,1
1970,T-41,Italy,ITA,6,Runner-up,Gigi Riva,3
1970,T-46,Mexico,MEX,4,Quarter-finals,Javier Valdivia,2
1970,T-47,Morocco,MAR,3,Group stage,2 players tied,1
1970,T-56,Peru,PER,4,Quarter-finals,Teófilo Cubillas,4
1970,T-61,Romania,ROU,3,Group stage,Florea Dumitrache,2
1970,T-72,Soviet Union,SUN,4,Quarter-finals,Anatoliy Byshovets,4
1970,T-74,Sweden,SWE,3,Group stage,2 players tied,1
1970,T-84,Uruguay,URY,6,Semi-finals,4 players tied,1
1970,T-86,West Germany,DEU,6,Third place,Gerd Müller,10
1974,T-03,Argentina,ARG,6,Second group stage,René Houseman,3
1974,T-04,Australia,AUS,3,Group stage,No goals scored,0
1974,T-09,Brazil,BRA,7,Semi-finals,Rivellino,3
1974,T-10,Bulgaria,BGR,3,Group stage,Hristo Bonev,1
1974,T-13,Chile,CHL,3,Group stage,Sergio Ahumada,1
1974,T-24,East Germany,DDR,6,Second group stage,Joachim Streich,2
1974,T-34,Haiti,HTI,3,Group stage,Emmanuel Sanon,2
1974,T-41,Italy,ITA,3,Group stage,4 players tied,1
1974,T-48,Netherlands,NLD,7,Runner-up,Johan Neeskens,5
1974,T-57,Poland,POL,7,Third place,Grzegorz Lato,7
1974,T-64,Scotland,SCO,3,Group stage,Joe Jordan,2
1974,T-74,Sweden,SWE,6,Second group stage,Ralf Edström,4
1974,T-84,Uruguay,URY,3,Group stage,Ricardo Pavoni,1
1974,T-86,West Germany,DEU,7,Champion,Gerd Müller,4
1974,T-87,Yugoslavia,YUG,6,Second group stage,Dušan Bajević,3
1974,T-88,Zaire,COD,3,Group stage,No goals scored,0
1978,T-03,Argentina,ARG,7,Champion,Mario Kempes,6
1978,T-05,Austria,AUT,6,Second group stage,Hans Krankl,4
1978,T-09,Brazil,BRA,7,Third place,2 players tied,3
1978,T-30,France,FRA,3,Group stage,5 players tied,1
1978,T-36,Hungary,HUN,3,Group stage,2 players tied,1
1978,T-38,Iran,IRN,3,Group stage,2 players tied,1
1978,T-41,Italy,ITA,7,Semi-finals,Paolo Rossi,3
1978,T-46,Mexico,MEX,3,Group stage,2 players tied,1
1978,T-48,Netherlands,NLD,7,Runner-up,Rob Rensenbrink,5
1978,T-56,Peru,PER,6,Second group stage,Teófilo Cubillas,5
1978,T-57,Poland,POL,6,Second group stage,2 players tied,2
1978,T-64,Scotland,SCO,3,Group stage,Archie Gemmill,2
1978,T-73,Spain,ESP,3,Group stage,2 players tied,1
1978,T-74,Sweden,SWE,3,Group stage,Thomas Sjöberg,1
1978,T-79,Tunisia,TUN,3,Group stage,3 players tied,1
1978,T-86,West Germany,DEU,6,Second group stage,Karl-Heinz Rummenigge,3
1982,T-01,Algeria,DZA,3,Group stage,Saleh Assad,2
1982,T-03,Argentina,ARG,5,Second group stage,3 players tied,2
1982,T-05,Austria,AUT,5,Second group stage,Walter Schachner,2
1982,T-06,Belgium,BEL,5,Second group stage,3 players tied,1
1982,T-09,Brazil,BRA,5,Second group stage,Zico,4
1982,T-11,Cameroon,CMR,3,Group stage,Grégoire M'Bida,1
1982,T-13,Chile,CHL,3,Group stage,3 players tied,1
1982,T-21,Czechoslovakia,CSK,3,Group stage,Antonín Panenka,2
1982,T-27,El Salvador,SLV,3,Group stage,Luis Ramírez,1
1982,T-28,England,ENG,5,Second group stage,2 players tied,2
1982,T-30,France,FRA,7,Semi-finals,Alain Giresse,3
1982,T-35,Honduras,HND,3,Group stage,2 players tied,1
1982,T-36,Hungary,HUN,3,Group stage,László Kiss,3
1982,T-41,Italy,ITA,7,Champion,Paolo Rossi,6
1982,T-45,Kuwait,KWT,3,Group stage,2 players tied,1
1982,T-49,New Zealand,NZL,3,Group stage,2 players tied,1
1982,T-52,Northern Ireland,NIR,5,Second group stage,Gerry Armstrong,3
1982,T-56,Peru,PER,3,Group stage,2 players tied,1
1982,T-57,Poland,POL,7,Third place,Zbigniew Boniek,4
1982,T-64,Scotland,SCO,3,Group stage,John Wark,2
1982,T-72,Soviet Union,SUN,5,Second group stage,7 players tied,1
1982,T-73,Spain,ESP,5,Second group stage,4 players tied,1
1982,T-86,West Germany,DEU,7,Runner-up,Karl-Heinz Rummenigge,5
1982,T-87,Yugoslavia,YUG,3,Group stage,2 players tied,1
1986,T-01,Algeria,DZA,3,Group stage,Djamel Zidane,1
1986,T-03,Argentina,ARG,7,Champion,Diego Maradona,5
1986,T-06,Belgium,BEL,7,Semi-finals,2 players tied,3
1986,T-09,Brazil,BRA,5,Quarter-finals,Careca,5
1986,T-10,Bulgaria,BGR,4,Round of 16,2 players tied,1
1986,T-12,Canada,CAN,3,Group stage,No goals scored,0
1986,T-22,Denmark,DNK,4,Round of 16,Preben Elkjær,4
1986,T-28,England,ENG,5,Quarter-finals,Gary Lineker,6
1986,T-30,France,FRA,7,Third place,3 players tied,2
1986,T-36,Hungary,HUN,3,Group stage,2 players tied,1
1986,T-39,Iraq,IRQ,3,Group stage,Ahmed Radhi,1
1986,T-41,Italy,ITA,4,Round of 16,Alessandro Altobelli,4
1986,T-46,Mexico,MEX,5,Quarter-finals,Fernando Quirarte,2
1986,T-47,Morocco,MAR,4,Round of 16,Abderrazak Khairi,2
1986,T-52,Northern Ireland,NIR,3,Group stage,2 players tied,1
1986,T-55,Paraguay,PRY,4,Round of 16,2 players tied,2
1986,T-57,Poland,POL,4,Round of 16,Włodzimierz Smolarek,1
1986,T-58,Portugal,PRT,3,Group stage,2 players tied,1
1986,T-64,Scotland,SCO,3,Group stage,Gordon Strachan,1
1986,T-71,South Korea,KOR,3,Group stage,4 players tied,1
1986,T-72,Soviet Union,SUN,4,Round of 16,Igor Belanov,4
1986,T-73,Spain,ESP,5,Quarter-finals,Emilio Butragueño,5
1986,T-84,Uruguay,URY,4,Round of 16,2 players tied,1
1986,T-86,West Germany,DEU,7,Runner-up,Rudi Völler,3
1990,T-03,Argentina,ARG,7,Runner-up,Claudio Caniggia,2
1990,T-05,Austria,AUT,3,Group stage,2 players tied,1
1990,T-06,Belgium,BEL,4,Round of 16,6 players tied,1
1990,T-09,Brazil,BRA,4,Round of 16,2 players tied,2
1990,T-11,Cameroon,CMR,5,Quarter-finals,Roger Milla,4
1990,T-16,Colombia,COL,4,Round of 16,Bernardo Redín,2
1990,T-17,Costa Rica,CRI,4,Round of 16,4 players tied,1
1990,T-21,Czechoslovakia,CSK,5,Quarter-finals,Tomáš Skuhravý,5
1990,T-26,Egypt,EGY,3,Group stage,Magdi Abdelghani,1
1990,T-28,England,ENG,7,Semi-finals,Gary Lineker,4
1990,T-41,Italy,ITA,7,Third place,Salvatore Schillaci,6
1990,T-48,Netherlands,NLD,4,Round of 16,3 players tied,1
1990,T-60,Republic of Ireland,IRL,5,Quarter-finals,2 players tied,1
1990,T-61,Romania,ROU,4,Round of 16,Gabi Balint,2
1990,T-64,Scotland,SCO,3,Group stage,2 players tied,1
1990,T-71,South Korea,KOR,3,Group stage,Hwangbo Kwan,1
1990,T-72,Soviet Union,SUN,3,Group stage,4 players tied,1
1990,T-73,Spain,ESP,4,Round of 16,Míchel,4
1990,T-74,Sweden,SWE,3,Group stage,3 players tied,1
1990,T-82,United Arab Emirates,ARE,3,Group stage,2 players tied,1
1990,T-83,United States,USA,3,Group stage,2 players tied,1
1990,T-84,Uruguay,URY,4,Round of 16,2 players tied,1
1990,T-86,West Germany,DEU,7,Champion,Lothar Matthäus,4
1990,T-87,Yugoslavia,YUG,5,Quarter-finals,3 players tied,2
1994,T-03,Argentina,ARG,4,Round of 16,Gabriel Batistuta,4
1994,T-06,Belgium,BEL,4,Round of 16,Philippe Albert,2
1994,T-07,Bolivia,BOL,3,Group stage,Erwin Sánchez,1
