tournament_year,team_id,team_name,team_code,count_matches,performance
1974,T-10,Bulgaria,BGR,3,group stage
1974,T-13,Chile,CHL,3,group stage
1974,T-24,East Germany,DDR,6,second group stage
1974,T-34,Haiti,HTI,3,group stage
1974,T-41,Italy,ITA,3,group stage
1974,T-48,Netherlands,NLD,7,final
1974,T-57,Poland,POL,7,third-place match
1974,T-64,Scotland,SCO,3,group stage
1974,T-74,Sweden,SWE,6,second group stage
1974,T-84,Uruguay,URY,3,group stage
1974,T-86,West Germany,DEU,7,final
1974,T-87,Yugoslavia,YUG,6,second group stage
1974,T-88,Zaire,COD,3,group stage
1978,T-03,Argentina,ARG,7,final
1978,T-05,Austria,AUT,6,second group stage
1978,T-09,Brazil,BRA,7,third-place match
1978,T-30,France,FRA,3,group stage
1978,T-36,Hungary,HUN,3,group stage
1978,T-38,Iran,IRN,3,group stage
1978,T-41,Italy,ITA,7,third-place match
1978,T-46,Mexico,MEX,3,group stage
1978,T-48,Netherlands,NLD,7,final
1978,T-56,Peru,PER,6,second group stage
1978,T-57,Poland,POL,6,second group stage
1978,T-64,Scotland,SCO,3,group stage
1978,T-73,Spain,ESP,3,group stage
1978,T-74,Sweden,SWE,3,group stage
1978,T-79,Tunisia,TUN,3,group stage
1978,T-86,West Germany,DEU,6,second group stage
1982,T-01,Algeria,DZA,3,group stage
1982,T-03,Argentina,ARG,5,second group stage
1982,T-05,Austria,AUT,5,second group stage
1982,T-06,Belgium,BEL,5,second group stage
1982,T-09,Brazil,BRA,5,second group stage
1982,T-11,Cameroon,CMR,3,group stage
1982,T-13,Chile,CHL,3,group stage
1982,T-21,Czechoslovakia,CSK,3,group stage
1982,T-27,El Salvador,SLV,3,group stage
1982,T-28,England,ENG,5,second group stage
1982,T-30,France,FRA,7,third-place match
1982,T-35,Honduras,HND,3,group stage
1982,T-36,Hungary,HUN,3,group stage
1982,T-41,Italy,ITA,7,final
1982,T-45,Kuwait,KWT,3,group stage
1982,T-49,New Zealand,NZL,3,group stage
1982,T-52,Northern Ireland,NIR,5,second group stage
1982,T-56,Peru,PER,3,group stage
1982,T-57,Poland,POL,7,third-place match
1982,T-64,Scotland,SCO,3,group stage
1982,T-72,Soviet Union,SUN,5,second group stage
1982,T-73,Spain,ESP,5,second group stage
1982,T-86,West Germany,DEU,7,final
1982,T-87,Yugoslavia,YUG,3,group stage
1986,T-01,Algeria,DZA,3,group stage
1986,T-03,Argentina,ARG,7,final
1986,T-06,Belgium,BEL,7,third-place match
1986,T-09,Brazil,BRA,5,quarter-finals
1986,T-10,Bulgaria,BGR,4,round of 16
1986,T-12,Canada,CAN,3,group stage
1986,T-22,Denmark,DNK,4,round of 16
1986,T-28,England,ENG,5,quarter-finals
1986,T-30,France,FRA,7,third-place match
1986,T-36,Hungary,HUN,3,group stage
1986,T-39,Iraq,IRQ,3,group stage
1986,T-41,Italy,ITA,4,round of 16
1986,T-46,Mexico,MEX,5,quarter-finals
1986,T-47,Morocco,MAR,4,round of 16
1986,T-52,Northern Ireland,NIR,3,group stage
1986,T-55,Paraguay,PRY,4,round of 16
1986,T-57,Poland,POL,4,round of 16
1986,T-58,Portugal,PRT,3,group stage
1986,T-64,Scotland,SCO,3,group stage
1986,T-71,South Korea,KOR,3,group stage
1986,T-72,Soviet Union,SUN,4,round of 16
1986,T-73,Spain,ESP,5,quarter-finals
1986,T-84,Uruguay,URY,4,round of 16
1986,T-86,West Germany,DEU,7,final
1990,T-03,Argentina,ARG,7,final
1990,T-05,Austria,AUT,3,group stage
1990,T-06,Belgium,BEL,4,round of 16
1990,T-09,Brazil,BRA,4,round of 16
1990,T-11,Cameroon,CMR,5,quarter-finals
1990,T-16,Colombia,COL,4,round of 16
1990,T-17,Costa Rica,CRI,4,round of 16
1990,T-21,Czechoslovakia,CSK,5,quarter-finals
1990,T-26,Egypt,EGY,3,group stage
1990,T-28,England,ENG,7,third-place match
1990,T-41,Italy,ITA,7,third-place match
